"id","courses_id","availability_id","time_start","time_end","spots","pontifex_id","spots_taken","created_at","updated_at"
21929,24,1568,"19:00:00","20:00:00",14,18617,"","","2020-10-05 16:00:06"
21930,24,1569,"19:00:00","20:00:00",15,19088,"","","2020-10-05 16:00:06"
21931,24,1570,"19:00:00","20:00:00",8,18282,"","","2020-10-05 16:00:07"
21932,24,1572,"19:00:00","20:00:00",14,19089,"","","2020-10-05 16:00:07"
21933,24,1574,"19:00:00","20:00:00",13,18618,"","","2020-10-05 16:00:07"
21934,24,1575,"19:00:00","20:00:00",14,19090,"","","2020-10-05 16:00:07"
21935,24,1576,"19:00:00","20:00:00",7,18941,"","","2020-10-05 16:00:07"
21936,24,1577,"19:00:00","20:00:00",6,18283,"","","2020-10-05 16:00:07"
21937,24,1578,"17:45:00","18:45:00",8,18937,"","","2020-10-05 16:00:08"
21938,24,1579,"19:00:00","20:00:00",15,19091,"","","2020-10-05 16:00:08"
21939,24,1580,"19:00:00","20:00:00",14,18619,"","","2020-10-05 16:00:08"
21940,24,1581,"19:00:00","20:00:00",15,19092,"","","2020-10-05 16:00:08"
21948,24,1610,"17:30:00","18:30:00",5,20402,"{""2"":1}","","2020-10-05 16:00:04"
21949,24,1611,"17:30:00","18:30:00",8,20390,"","","2020-10-05 16:00:05"
21950,24,1612,"19:00:00","20:00:00",9,20369,"","","2020-10-05 16:00:05"
21951,24,1613,"17:30:00","18:30:00",11,20403,"","","2020-10-05 16:00:06"
21952,24,1614,"17:30:00","18:30:00",10,20391,"","","2020-10-05 16:00:06"
21953,24,1615,"19:00:00","20:00:00",11,20370,"","","2020-10-05 16:00:07"
21954,24,1616,"17:30:00","18:30:00",11,20392,"","","2020-10-05 16:00:08"
21955,24,1617,"17:30:00","18:30:00",13,20404,"","","2020-10-05 16:00:08"
21959,24,1638,"19:00:00","20:00:00",6,18106,"","","2020-10-05 16:00:04"
21960,24,1639,"16:00:00","17:00:00",7,18096,"","","2020-10-05 16:00:05"
21961,24,1640,"19:00:00","20:00:00",8,18107,"","","2020-10-05 16:00:06"
21962,24,1641,"16:00:00","17:00:00",9,18097,"","","2020-10-05 16:00:07"
21963,24,1642,"19:00:00","20:00:00",9,18108,"","","2020-10-05 16:00:08"
21978,24,1699,"17:30:00","18:30:00",11,20590,"","","2020-10-05 16:00:04"
21983,24,1704,"19:00:00","20:00:00",13,20536,"","","2020-10-05 16:00:05"
21985,24,1706,"19:00:00","20:00:00",9,18752,"","","2020-10-05 16:00:05"
21987,24,1708,"17:30:00","18:30:00",6,20592,"","","2020-10-05 16:00:06"
21988,24,1709,"16:00:00","17:00:00",6,20524,"","","2020-10-05 16:00:06"
21989,24,1710,"19:00:00","20:00:00",16,20537,"","","2020-10-05 16:00:07"
21990,24,1711,"19:00:00","20:00:00",13,18753,"","","2020-10-05 16:00:07"
21991,24,1712,"17:30:00","18:30:00",12,20593,"","","2020-10-05 16:00:07"
21992,24,1713,"19:00:00","20:00:00",9,18682,"{""2"":1}","","2020-10-05 16:00:08"
